model,size,subtask,accuracy,n_passed,n_total,ft_steps
d24-byte-l-ext,50000,del_char,1.000000,100,100,78
d24-byte-l-ext,50000,sub_char,0.970000,97,100,78
d24-byte-l-ext,50000,swap_char,1.000000,100,100,78
d24,3000,spell,0.000000,0,100,2
d24,3000,spell_inverse,0.000000,0,100,2
d24,3000,contains_char,0.520000,52,100,2
d24,3000,orth,0.490000,49,100,2
d24,3000,ins_char,0.000000,0,100,2
d24,3000,del_char,0.000000,0,100,2
d24,3000,sub_char,0.030000,3,100,2
d24,3000,swap_char,0.000000,0,100,2
d24,10000,spell,0.000000,0,100,4
d24,10000,spell_inverse,0.000000,0,100,4
d24,10000,contains_char,0.520000,52,100,4
d24,10000,orth,0.490000,49,100,4
d24,10000,ins_char,0.000000,0,100,4
d24,10000,del_char,0.000000,0,100,4
d24,10000,sub_char,0.030000,3,100,4
d24,10000,swap_char,0.000000,0,100,4
